"Date","Open","High","Low","Close"
"Jan 01, 2020","$966.52","$966.52","$966.52","$966.52"
"Dec 31, 2019","$975.92","$975.92","$966.52","$966.52"
"Dec 30, 2019","$960.76","$962.28","$960.76","$962.28"
"Dec 27, 2019","$951.68","$951.68","$948.96","$949.20"
"Dec 26, 2019","$959.37","$959.53","$948.50","$948.50"
"Dec 25, 2019","$949.22","$949.22","$949.22","$949.22"
"Dec 24, 2019","$940.69","$949.22","$940.69","$949.22"
"Dec 23, 2019","$923.28","$925.89","$923.25","$925.89"
"Dec 20, 2019","$936.49","$936.49","$913.29","$914.20"
"Dec 19, 2019","$931.49","$938.05","$931.49","$937.68"
"Dec 18, 2019","$938.77","$939.81","$938.77","$939.81"
"Dec 17, 2019","$934.83","$934.83","$931.75","$931.75"
"Dec 16, 2019","$935.61","$935.69","$933.16","$933.16"
"Dec 13, 2019","$940.71","$941.86","$930.61","$936.91"
"Dec 12, 2019","$948.11","$948.11","$948.11","$948.11"
"Dec 11, 2019","$931.15","$943.05","$931.15","$943.05"
"Dec 10, 2019","$926.11","$926.11","$925.47","$925.47"
"Dec 09, 2019","$898.02","$898.55","$898.02","$898.55"
"Dec 06, 2019","$899.38","$899.51","$899.38","$899.51"
"Dec 05, 2019","$901.28","$902.49","$899.63","$900.53"
